name,pattern,guess_num,time
Didi,BBBB,2,29.74416800000472
Didi,YRYR,2,17.768192999996245
Didi,BGRB,2,10.84305699999095
Didi,GRGR,1,10.482079000008525
Didi,RGGG,1,9.261104000004707
Didi,RRRR,0,4.283679999993183
Didi,YYBY,1,8.186692999996012
Didi,BGGR,4,7.86178900001687
Didi,RYGY,30,5.07381400000304
Didi,YRYG,12,7.405775999999605
didi,RGRG,9,5.263781999994535
didi,YGGB,15,6.322526000003563
didi,RGGY,6,3.630818999983603
f,GGBG,10,5.500329000002239
f,YRRR,4,3.033179999998538
didi,RRYY,6,4.427419000014197
didi,YRRY,13,3.12090900001931
didi,GYBY,6,31.39312500000233
didi,YRGR,0,8.328160000004573
f,GYRG,4,24.573119000007864
didi,YBYG,3,13.962887999980012
f,RYYY,3,13.56576800000039
